# OpenShim chunk geo manifest v1
# craft|geoName|parentName|type|flags
# Generated 2026-07-05 from Edit\stock piece tables (names/hierarchy only, no geometry).
abbarr|aba11bld|WORLD|61|0
abcafe|aca11bla|WORLD|61|0
abcafe|aca11blc|aca11bla|61|0
abcafe|aca11bld|aca11bla|61|0
abcomm|ACM11BDC|WORLD|61|0
abcomm|ACM11TWR|ACM11BDC|15|0
abcomm|ACM11TW1|ACM11TWR|15|0
abcomm|ACM11TW2|ACM11TWR|15|0
abcomm|ACM11TW3|ACM11TWR|15|0
abcomm|ACM11TW4|ACM11TWR|15|0
abhang|abh11bla|WORLD|61|0
abhang|abh11ble|abh11bla|61|0
abhang|abh11blf|abh11bla|61|0
abhang|abh11blg|abh11bla|61|0
abhang|abh11blh|abh11bla|61|0
abhang|abh11bli|abh11bla|61|0
abhang|abh11blJ|abh11bla|61|0
abhang|abh11dra|abh11bla|61|0
abhang|abh11drb|abh11bla|61|0
abhang|abh11drc|abh11bla|61|0
abhang|abh11drd|abh11bla|61|0
abhang|abh11lot|abh11bla|81|0
abhqcp|ahq11bla|WORLD|61|0
abhqcp|ahq11blc|ahq11bla|61|0
abhqcp|ahq11bga|ahq11blc|61|0
abhqcp|ahq11bgb|ahq11blc|61|0
abhqcp|ahq11blb|ahq11bla|61|0
abhqcp|ahq11bld|ahq11blc|61|0
abhqcp|ahq11ble|ahq11bld|61|0
abhqcp|ahq11blf|ahq11bla|61|0
abhqcp|ahq11blg|ahq11blf|61|0
abhqcp|ahq11blh|ahq11blg|61|0
ablpad|alp11bda|WORLD|61|0
ablpad|alp11bdb|alp11bda|61|0
ablpad|alp11bdc|alp11bdb|61|0
ablpow|alt11bda|WORLD|61|0
ablpow|alt11bdb|alt11bda|61|0
ablpow|alt11bdc|alt11bda|61|0
ablpow|alt11pt1|alt11bdc|61|0
ablpow|alt11pt2|alt11bdc|61|0
ablpow|alt11pt3|alt11bdc|61|0
ablpow|alt11pt4|alt11bdc|61|0
ablpow|alt11pt5|alt11bdc|61|0
ablpow|alt11pt6|alt11bdc|61|0
ablpow|alt11tpb|alt11bdb|61|0
ablpow|alt11tpc|alt11bdb|61|0
abmbld|amb11bla|WORLD|61|0
abmbld|amb11blb|amb11bla|61|0
abshld|abs11bla|WORLD|61|0
abshld|abs11blb|abs11bla|61|0
absilo|ass11bda|WORLD|61|0
absilo|ass11bdb|ass11bda|61|0
absilo|ass11bdc|ass11bda|61|0
absilo|ass11bdd|ass11bda|61|0
absilo|ass11bde|ass11bdd|61|0
absilo|ass11bdf|ass11bdd|61|0
absilo|ass11GSP|ass11bda|74|0
abspow|ASP11AR1|WORLD|61|0
abspow|ASP11AR2|ASP11AR1|61|0
abspow|ASP11AR3|WORLD|61|0
abspow|ASP11AR4|ASP11AR3|61|0
abspow|ASP11AR5|WORLD|61|0
abspow|ASP11AR6|ASP11AR5|61|0
abspow|ASP11AR7|WORLD|61|0
abspow|ASP11AR8|ASP11AR7|61|0
abspow|ASP11BAS|WORLD|61|0
abspow|asp11bul|WORLD|61|0
abspow|ASP11CL1|WORLD|61|0
abspow|ASP11CL2|WORLD|61|0
abspow|ASP11CL3|WORLD|61|0
abspow|ASP11CL4|WORLD|61|0
abspow|ASP11SC1|ASP11AR1|61|0
abspow|ASP11SC2|ASP11AR2|61|0
abspow|ASP11SC3|ASP11AR3|61|0
abspow|ASP11SC4|ASP11AR4|61|0
abspow|ASP11SC5|ASP11AR5|61|0
abspow|ASP11SC6|ASP11AR6|61|0
abspow|ASP11SC7|ASP11AR7|61|0
abspow|ASP11SC8|ASP11AR8|61|0
abstor|abs11bga|WORLD|61|0
abstor|abs11bgb|WORLD|61|0
abstor|abs11bgc|WORLD|61|0
absupp|asd11bla|WORLD|61|0
absupp|asd11bga|asd11bla|61|0
absupp|asd11bgb|asd11bla|61|0
absupp|asd11bgc|asd11bla|61|0
absupp|asd11blb|asd11bla|61|0
absupp|asd11lot|asd11bla|81|0
abtowe|agn11bda|WORLD|60|0
abtowe|agn11ty1|agn11bda|65|0
abtowe|agn11tx1|agn11ty1|65|0
abtowe|agn11bgb|agn11tx1|60|0
abtowe|agn11Gc1|agn11bgb|71|0
abtowe|agn11LGT|agn11tx1|38|0
abtowe|agn11POV|agn11tx1|40|0
abtowe02|agf11bda|WORLD|60|0
abtowe02|agf11rb2|agf11bda|60|0
abtowe02|agf11rb3|agf11bda|60|0
abtowe02|agf11top|agf11bda|65|0
abtowe03|agd11bda|WORLD|60|0
abtowe03|agd11top|agd11bda|65|0
abtowe03|agd11bga|agd11top|60|0
abtowe03|agd11rb1|agd11bda|60|0
abtowe03|agd11rb2|agd11bda|60|0
abtowe03|agd11rb3|agd11bda|60|0
abtowe2|agz11bda|WORLD|60|0
abtowe2|agz11top|agz11bda|65|0
abtowe2|agz11bga|agz11top|60|0
abtowe2|agz11rb1|agz11bda|60|0
abtowe2|agz11rb2|agz11bda|60|0
abtowe2|agz11rb3|agz11bda|60|0
abwpow|awp11plt|WORLD|61|0
abwpow|awp11spc|awp11plt|61|0
abwpow|awp11spd|awp11spc|61|0
abwpow|awp11spe|awp11spc|61|0
apammo|aam11bda|WORLD|60|0
apcamr|CAM11CMA|WORLD|60|0
apcamr|CAM11CMB|CAM11CMA|60|0
apcamr|CAM11POV|CAM11CMB|40|0
apcann|apc11bda|WORLD|60|0
apcann|apc11bdb|apc11bda|60|0
apcann|apc11bdc|apc11bda|60|0
apmort|apm11bda|WORLD|60|0
aprepa|ana11bda|WORLD|60|0
aprock|apr11bda|WORLD|60|0
apspec|aps11bda|WORLD|60|0
apwrck|apd11bda|WORLD|60|0
aspilo|asp11ctr|WORLD|60|0
aspilo|asp11trs|asp11ctr|65|0
aspilo|ASP11BCK|asp11trs|60|0
aspilo|asp11mg1|WORLD|60|0
aspilo|asp11GC1|asp11mg1|71|0
aspilo|ASP11HED|asp11trs|60|0
aspilo|asp11lth|asp11ctr|60|0
aspilo|asp11lbt|asp11lth|60|0
aspilo|asp11lsh|asp11trs|60|0
aspilo|asp11lrm|asp11lsh|60|0
aspilo|asp11lpm|asp11lrm|60|0
aspilo|asp11POV|WORLD|40|0
aspilo|asp11rth|asp11ctr|60|0
aspilo|asp11rbt|asp11rth|60|0
aspilo|asp11rsh|asp11trs|60|0
aspilo|asp11rrm|asp11rsh|60|0
aspilo|asp11rpm|asp11rrm|60|0
avapc|AAP11BDA|WORLD|60|0
avapc|AAP11LGT|AAP11BDA|38|0
avapc|AAP11ROR|AAP11BDA|66|0
avapc|AAP11NFL|AAP11ROR|67|0
avapc|AAP11NFR|AAP11ROR|67|0
avapc|AAP11POV|AAP11BDA|40|0
avartl|aar11ctr|WORLD|60|0
avartl|aar11ty1|aar11ctr|65|0
avartl|aar11tx2|aar11ty1|65|0
avartl|aar11bga|aar11tx2|60|0
avartl|aar11bgb|aar11tx2|60|0
avartl|aar11tx1|aar11ty1|65|0
avartl|aar11bgc|aar11tx1|60|0
avartl|aar11bgd|aar11tx1|60|0
avartl|aar11gm1|aar11bgd|73|0
avartl|aar11gm2|aar11bgc|73|0
avartl|aar11gm3|aar11bgb|73|0
avartl|aar11gm4|aar11bga|73|0
avartl|aar11LGT|aar11ty1|38|0
avartl|aar11nfl|aar11ctr|67|0
avartl|aar11nfr|aar11ctr|67|0
avartl|aar11nrl|aar11ctr|67|0
avartl|aar11POV|aar11ty1|40|0
