filename,relative_path,duration_sec,transcript,notes
bvrdevv0.wav,Black Dogs/Red Devil/bvrdevv0.wav,1.213,In combat.,
bvrdevv1.wav,Black Dogs/Red Devil/bvrdevv1.wav,1.012,I'm going.,
bvrdevv2.wav,Black Dogs/Red Devil/bvrdevv2.wav,0.993,Engaging.,
bvrdevv3.wav,Black Dogs/Red Devil/bvrdevv3.wav,1.213,Target down!,
bvrdevv4.wav,Black Dogs/Red Devil/bvrdevv4.wav,1.393,Watching your ass.,
bvrdevv8.wav,Black Dogs/Red Devil/bvrdevv8.wav,1.473,Getting repairs.,
bvrdevv9.wav,Black Dogs/Red Devil/bvrdevv9.wav,0.987,Reloading.,
bvrdevva.wav,Black Dogs/Red Devil/bvrdevva.wav,1.611,Searching for targets.,
bvrdevvb.wav,Black Dogs/Red Devil/bvrdevvb.wav,1.419,Protecting unit.,
bvrdevvc.wav,Black Dogs/Red Devil/bvrdevvc.wav,1.033,I'm on my way.,
bvrdevvd.wav,Black Dogs/Red Devil/bvrdevvd.wav,1.048,Recycling.,
bvrdevvf.wav,Black Dogs/Red Devil/bvrdevvf.wav,1.283,Heading to Nav.,
bvrdevvg.wav,Black Dogs/Red Devil/bvrdevvg.wav,1.129,Guarding friendly.,
bvrdevvh.wav,Black Dogs/Red Devil/bvrdevvh.wav,0.891,Affirmative.,
bvrdevvk.wav,Black Dogs/Red Devil/bvrdevvk.wav,1.138,"Yes, sir.",
bvrdevvm.wav,Black Dogs/Red Devil/bvrdevvm.wav,1.144,Red Devil here.,
bvrdevvr.wav,Black Dogs/Red Devil/bvrdevvr.wav,1.071,No way.,
svapcv0.wav,CCA/APC/svapcv0.wav,1.178,"Right away, sir.",
svapcv2.wav,CCA/APC/svapcv2.wav,1.306,Opening hatch.,
svapcv4.wav,CCA/APC/svapcv4.wav,1.115,Repairing.,
svapcv5.wav,CCA/APC/svapcv5.wav,1.579,Approaching for pickup.,
svapcv6.wav,CCA/APC/svapcv6.wav,1.254,Recycling.,
svapcv9.wav,CCA/APC/svapcv9.wav,1.585,Launching attack.,
svapcva.wav,CCA/APC/svapcva.wav,1.602,APC ready.,
svapcvf.wav,CCA/APC/svapcvf.wav,1.805,Deploying troops.,
svapcvg.wav,CCA/APC/svapcvg.wav,1.562,Receiving troops.,
svapcvh.wav,CCA/APC/svapcvh.wav,0.987,"Yes, sir.",
svapcvs.wav,CCA/APC/svapcvs.wav,1.364,(scream),
svslfv0.wav,CCA/Armory/svslfv0.wav,1.434,Awaiting orders.,
svslfv0b.wav,CCA/Armory/svslfv0b.wav,1.538,Supply unit here.,
svslfv1.wav,CCA/Armory/svslfv1.wav,0.958,Right away.,
svslfv2.wav,CCA/Armory/svslfv2.wav,1.608,Incoming repair.,
svslfv3.wav,CCA/Armory/svslfv3.wav,1.411,Incoming weapon.,
svslfv4.wav,CCA/Armory/svslfv4.wav,1.445,Camera deployed.,
svslfv7.wav,CCA/Armory/svslfv7.wav,1.027,Rolling.,
svslfv8.wav,CCA/Armory/svslfv8.wav,1.167,"Following, sir.",
svslfv9.wav,CCA/Armory/svslfv9.wav,1.689,Negative. I can't.,
svslfva.wav,CCA/Armory/svslfva.wav,1.858,Unable to comply.,
svslfvb.wav,CCA/Armory/svslfvb.wav,1.503,"I need room, sir.",
svslfvc.wav,CCA/Armory/svslfvc.wav,1.248,Ready to move.,
svslfvd.wav,CCA/Armory/svslfvd.wav,1.794,No geysers on radar.,
svslfve.wav,CCA/Armory/svslfve.wav,0.946,Moving.,
svslfvf.wav,CCA/Armory/svslfvf.wav,1.004,Building.,
svslfvh.wav,CCA/Armory/svslfvh.wav,1.562,"Geyser in sight, sir.",
svslfvj.wav,CCA/Armory/svslfvj.wav,1.771,Give me the coordinates.,
svslfvk.wav,CCA/Armory/svslfvk.wav,1.283,incoming bomb.,
svslfvn.wav,CCA/Armory/svslfvn.wav,1.364,Incoming ammo.,
svslfvo.wav,CCA/Armory/svslfvo.wav,1.829,"I need more power, sir.",
svslfvp.wav,CCA/Armory/svslfvp.wav,1.283,Ready to build.,
svartlv0.wav,CCA/Cannoneer (Howitzer)/svartlv0.wav,1.347,Moving out.,
svartlv3.wav,CCA/Cannoneer (Howitzer)/svartlv3.wav,1.178,Will do.,
svartlv4.wav,CCA/Cannoneer (Howitzer)/svartlv4.wav,1.318,Heading in.,
svartlv5.wav,CCA/Cannoneer (Howitzer)/svartlv5.wav,1.55,Getting ammo.,
svartlv7.wav,CCA/Cannoneer (Howitzer)/svartlv7.wav,0.784,Да.{{Yes.}},
svartlv8.wav,CCA/Cannoneer (Howitzer)/svartlv8.wav,1.387,Heading back.,
svartlv9.wav,CCA/Cannoneer (Howitzer)/svartlv9.wav,1.161,Grouped.,
svartlvb.wav,CCA/Cannoneer (Howitzer)/svartlvb.wav,3.361,Incoming!,
svartlvc.wav,CCA/Cannoneer (Howitzer)/svartlvc.wav,1.463,What's next?,
